rollno,quiz1,quiz2,midsem,endsem,total-marks,grades
23B265,9,9,23,47,88,AA
23B346,8,10,23,50,91,AA
23B429,10,5,27,48,90,AA
23B669,7,8,30,41,86,AA
23B995,5,4,30,50,89,AA
23B003,3,7,19,38,67,AB
23B057,5,9,18,50,82,AB
23B063,10,4,8,48,70,AB
23B203,10,1,15,41,67,AB
23B220,7,4,16,50,77,AB
23B223,10,5,10,50,75,AB
23B240,1,3,27,50,81,AB
23B251,7,4,24,37,72,AB
23B264,1,9,29,45,84,AB
23B278,10,1,26,36,73,AB
23B282,8,7,29,26,70,AB
23B296,7,10,14,48,79,AB
23B305,2,6,19,49,76,AB
23B312,7,3,16,46,72,AB
23B326,1,10,29,33,73,AB
23B369,2,3,28,50,83,AB
23B372,8,10,22,28,68,AB
23B375,8,6,11,49,74,AB
23B409,6,6,24,48,84,AB
23B411,10,8,14,47,79,AB
23B431,10,3,12,46,71,AB
23B434,5,5,27,37,74,AB
23B449,4,4,22,42,72,AB
23B497,8,6,12,43,69,AB
23B506,5,2,27,43,77,AB
23B515,10,7,8,49,74,AB
23B558,8,7,14,50,79,AB
23B601,6,5,10,48,69,AB
23B630,1,8,29,47,85,AB
23B646,9,5,24,34,72,AB
23B672,4,10,11,44,69,AB
23B687,8,3,10,48,69,AB
23B702,1,8,14,47,70,AB
23B717,9,9,30,26,74,AB
23B729,9,10,27,28,74,AB
23B745,5,10,22,44,81,AB
23B748,4,2,17,46,69,AB
23B783,6,2,19,49,76,AB
23B791,3,8,26,46,83,AB
23B794,3,9,20,41,73,AB
23B837,1,10,15,49,75,AB
23B878,9,9,8,40,66,AB
23B880,10,5,13,40,68,AB
23B914,1,8,25,39,73,AB
23B931,2,7,26,35,70,AB
23B932,4,9,23,42,78,AB
23B934,10,2,26,38,76,AB
23B938,6,4,19,44,73,AB
23B940,2,5,30,48,85,AB
23B954,3,10,29,40,82,AB
23B962,9,1,20,36,66,AB
23B973,7,10,28,29,74,AB
23B991,9,6,19,48,82,AB
23B005,6,4,5,31,46,BB
23B006,4,8,12,32,56,BB
23B018,9,2,16,26,53,BB
23B022,2,6,15,33,56,BB
23B028,2,8,22,20,52,BB
23B040,10,6,1,42,59,BB
23B045,9,10,6,32,57,BB
23B046,3,4,19,39,65,BB
23B065,9,8,18,30,65,BB
23B070,10,1,20,30,61,BB
23B071,1,7,10,30,48,BB
23B087,6,3,24,13,46,BB
23B092,6,8,10,40,64,BB
23B094,10,10,27,2,49,BB
23B100,7,6,24,15,52,BB
23B103,3,9,21,32,65,BB
23B117,6,6,2,36,50,BB
23B163,4,3,23,23,53,BB
23B166,9,6,8,36,59,BB
23B181,2,5,5,46,58,BB
23B185,7,2,1,36,46,BB
23B193,8,10,10,31,59,BB
23B216,8,6,25,23,62,BB
23B229,3,9,21,22,55,BB
23B231,9,9,17,12,47,BB
23B273,1,4,29,19,53,BB
23B308,6,2,21,21,50,BB
23B309,8,1,6,39,54,BB
23B329,4,8,23,30,65,BB
23B337,9,10,6,37,62,BB
23B350,5,10,25,25,65,BB
23B359,4,3,14,40,61,BB
23B362,5,8,12,24,49,BB
23B393,1,7,12,43,63,BB
23B406,2,8,7,30,47,BB
23B414,5,1,19,26,51,BB
23B417,7,5,20,21,53,BB
23B426,2,3,10,45,60,BB
23B427,7,8,19,22,56,BB
23B447,8,5,6,31,50,BB
23B457,4,9,15,18,46,BB
23B488,6,8,3,36,53,BB
23B507,4,5,13,28,50,BB
23B526,10,4,22,12,48,BB
23B569,4,7,27,19,57,BB
23B572,4,7,11,39,61,BB
23B582,2,3,17,25,47,BB
23B584,6,3,25,15,49,BB
23B607,3,4,11,31,49,BB
23B622,9,8,29,6,52,BB
23B631,7,8,25,18,58,BB
23B635,10,3,30,6,49,BB
23B649,5,7,13,38,63,BB
23B650,7,7,30,19,63,BB
23B651,5,6,25,22,58,BB
23B666,10,7,2,45,64,BB
23B670,4,8,12,34,58,BB
23B700,8,3,15,35,61,BB
23B705,7,6,8,33,54,BB
23B712,6,7,23,12,48,BB
23B719,7,6,29,12,54,BB
23B736,2,8,21,18,49,BB
23B750,2,3,9,37,51,BB
23B760,4,9,9,32,54,BB
23B763,5,2,17,35,59,BB
23B793,6,7,21,17,51,BB
23B798,2,6,21,24,53,BB
23B805,8,6,5,40,59,BB
23B812,2,7,10,45,64,BB
23B814,7,8,6,31,52,BB
23B825,5,9,3,41,58,BB
23B844,1,8,24,17,50,BB
23B847,7,1,5,37,50,BB
23B858,6,10,9,37,62,BB
23B868,8,1,3,43,55,BB
23B870,10,9,26,19,64,BB
23B898,4,5,27,22,58,BB
23B904,7,4,18,35,64,BB
23B908,3,2,22,21,48,BB
23B911,2,5,13,41,61,BB
23B918,9,10,20,19,58,BB
23B942,5,10,24,18,57,BB
23B952,3,1,29,22,55,BB
23B980,8,6,14,22,50,BB
23B996,1,5,20,20,46,BB
23B020,10,1,17,14,42,CC
23B052,6,5,19,7,37,CC
23B080,3,10,4,24,41,CC
23B082,5,2,26,3,36,CC
23B113,4,5,12,22,43,CC
23B138,7,4,16,16,43,CC
23B146,2,6,19,11,38,CC
23B151,3,4,16,13,36,CC
23B154,8,2,21,5,36,CC
23B159,5,6,3,25,39,CC
23B183,5,8,13,19,45,CC
23B206,2,3,26,7,38,CC
23B236,2,7,5,22,36,CC
23B239,8,3,25,7,43,CC
23B253,4,8,21,5,38,CC
23B267,8,9,20,5,42,CC
23B291,10,9,4,21,44,CC
23B325,1,7,5,26,39,CC
23B331,2,1,30,5,38,CC
23B374,5,6,6,24,41,CC
23B376,1,6,3,30,40,CC
23B407,9,2,20,14,45,CC
23B435,8,5,7,25,45,CC
23B464,8,7,10,11,36,CC
23B483,6,10,13,15,44,CC
23B491,1,5,3,35,44,CC
23B517,9,10,15,3,37,CC
23B522,3,5,13,23,44,CC
23B538,9,8,15,4,36,CC
23B539,3,2,13,23,41,CC
23B571,4,4,20,8,36,CC
23B592,1,6,19,15,41,CC
23B609,4,9,13,16,42,CC
23B617,1,10,22,12,45,CC
23B621,6,3,23,8,40,CC
23B627,8,7,19,4,38,CC
23B640,9,2,15,14,40,CC
23B678,7,5,4,20,36,CC
23B690,9,1,4,28,42,CC
23B706,10,9,12,14,45,CC
23B744,3,7,23,8,41,CC
23B774,6,2,16,21,45,CC
23B808,2,1,10,29,42,CC
23B841,10,9,13,10,42,CC
23B877,9,1,2,30,42,CC
23B917,5,10,25,2,42,CC
23B941,8,5,15,16,44,CC
23B956,4,7,7,21,39,CC
23B017,6,5,5,19,35,F
23B027,6,4,16,8,34,F
23B041,3,10,3,15,31,F
23B043,6,1,3,12,22,F
23B054,1,6,2,7,16,F
23B064,5,2,7,1,15,F
23B066,9,9,11,5,34,F
23B101,1,3,17,2,23,F
23B142,1,3,10,10,24,F
23B187,2,4,10,4,20,F
23B192,5,9,12,1,27,F
23B196,1,6,8,6,21,F
23B238,3,1,27,3,34,F
23B258,4,3,5,6,18,F
23B266,8,4,6,16,34,F
23B268,9,5,11,10,35,F
23B284,1,7,9,7,24,F
23B304,8,7,7,8,30,F
23B315,2,4,6,13,25,F
23B323,3,3,7,15,28,F
23B333,6,4,7,17,34,F
23B353,10,5,9,6,30,F
23B368,1,2,3,10,16,F
23B370,6,7,5,6,24,F
23B382,6,2,12,4,24,F
23B395,2,2,12,4,20,F
23B400,6,1,8,16,31,F
23B404,1,3,11,10,25,F
23B421,8,8,4,3,23,F
23B492,3,3,15,10,31,F
23B493,5,4,14,2,25,F
23B536,6,10,11,2,29,F
23B551,2,3,21,5,31,F
23B555,5,3,1,26,35,F
23B563,8,3,5,11,27,F
23B597,10,2,11,11,34,F
23B608,1,9,9,8,27,F
23B629,4,3,3,14,24,F
23B658,1,10,19,5,35,F
23B659,4,2,11,8,25,F
23B665,1,7,6,14,28,F
23B685,4,7,2,3,16,F
23B709,1,7,13,14,35,F
23B718,7,3,12,5,27,F
23B732,4,2,22,4,32,F
23B734,7,1,1,21,30,F
23B752,2,7,14,1,24,F
23B757,1,4,15,15,35,F
23B772,1,1,3,8,13,F
23B773,1,2,23,2,28,F
23B802,6,5,1,2,14,F
23B830,9,1,7,6,23,F
23B839,10,3,10,2,25,F
23B850,1,7,4,23,35,F
23B854,6,2,7,18,33,F
23B866,3,1,13,15,32,F
23B902,3,5,11,9,28,F
23B939,9,6,5,9,29,F
23B946,3,6,7,12,28,F
23B977,4,10,13,8,35,F
