rollno,quiz1,quiz2,midsem,endsem,total-marks,grades
24B015,7,10,12,41,70,AB
24B065,9,6,30,24,69,AB
24B079,9,4,22,35,70,AB
24B219,2,6,12,48,68,AB
24B233,4,2,28,43,77,AB
24B306,8,5,27,38,78,AB
24B323,10,4,3,49,66,AB
24B628,4,8,25,39,76,AB
24B677,4,3,26,34,67,AB
24B797,7,6,19,40,72,AB
24B800,5,7,24,39,75,AB
24B847,4,9,27,29,69,AB
24B041,5,3,24,19,51,BB
24B075,3,7,8,31,49,BB
24B076,5,5,17,29,56,BB
24B094,1,1,5,49,56,BB
24B129,9,7,24,22,62,BB
24B212,7,3,22,19,51,BB
24B285,10,1,5,44,60,BB
24B288,7,4,1,40,52,BB
24B343,7,7,8,24,46,BB
24B382,1,1,23,38,63,BB
24B442,6,8,26,12,52,BB
24B496,2,2,3,48,55,BB
24B574,3,6,7,45,61,BB
24B582,10,6,16,31,63,BB
24B694,3,3,21,33,60,BB
24B735,8,1,21,29,59,BB
24B765,5,4,9,46,64,BB
24B788,2,2,25,32,61,BB
24B820,10,9,19,15,53,BB
24B846,9,3,27,25,64,BB
24B851,4,2,2,38,46,BB
24B894,3,8,11,37,59,BB
24B915,10,8,3,37,58,BB
24B924,9,4,4,29,46,BB
24B927,5,3,6,38,52,BB
24B939,4,3,26,28,61,BB
24B942,10,7,20,28,65,BB
24B026,8,10,7,17,42,CC
24B047,5,5,23,4,37,CC
24B234,1,4,14,22,41,CC
24B598,5,9,9,15,38,CC
24B618,10,1,10,23,44,CC
24B640,10,1,7,18,36,CC
24B657,5,2,13,18,38,CC
24B675,10,4,8,16,38,CC
24B749,4,1,24,15,44,CC
24B875,2,8,6,27,43,CC
24B044,6,5,16,8,35,F
24B099,1,4,10,18,33,F
24B136,6,1,1,14,22,F
24B264,8,1,5,11,25,F
24B404,5,7,14,9,35,F
24B421,6,3,12,3,24,F
24B604,4,9,7,15,35,F
24B774,3,5,1,13,22,F
24B793,4,6,10,3,23,F
24B852,2,2,22,1,27,F
24B899,2,3,5,19,29,F
24B914,9,8,6,4,27,F
